nom_cit,original_name,order,family,genus,grp2_np
Autres oiseaux Chardonneret elegant,Carduelis carduelis,Passeriformes,Fringillidae,Carduelis,Oiseaux
Cervidae,Cervidae,Cetartiodactyla,Cervidae,NA,Mammifères
Autres oiseaux Canard colvert,Anas platyrhynchos,Anseriformes,Anatidae,Anas,Oiseaux
rat,Rattus,Rodentia,Muridae,Rattus,Mammifères
Rapaces nocturnes Hibou moyen-duc,Asio otus,Strigiformes,Strigidae,Asio,Oiseaux
Autres oiseaux Foulque macroule,Fulica atra,Gruiformes,Rallidae,Fulica,Oiseaux
Chiroptera,Chiroptera,Chiroptera,NA,NA,Mammifères
Rapaces nocturnes Hibou Petit-duc,Otus scops,Strigiformes,Strigidae,Otus,Oiseaux
Cygnus olor,Cygnus olor,Anseriformes,Anatidae,Cygnus,Oiseaux
Reptiles Vipere,Viperidae,Squamata,Viperidae,NA,Reptiles
Autres oiseaux Accenteur mouchet,Prunella modularis,Passeriformes,Prunellidae,Prunella,Oiseaux
Lynx lynx,Lynx lynx,Carnivora,Felidae,Lynx,Mammifères
Testudines,Chelonii,Chelonii,NA,NA,Reptiles
Procyon lotor,Procyon lotor,Carnivora,Procyonidae,Procyon,Mammifères
Laridae,Laridae,Charadriiformes,Laridae,NA,Oiseaux
Autres oiseaux Bruant zizi,Emberiza cirlus,Passeriformes,Emberizidae,Emberiza,Oiseaux
Lacertidae,Lacertidae,Squamata,Lacertidae,NA,Reptiles
Autres oiseaux Grive musicienne,Turdus philomelos,Passeriformes,Turdidae,Turdus,Oiseaux
Autres oiseaux Grive draine,Turdus viscivorus,Passeriformes,Turdidae,Turdus,Oiseaux
Autres oiseaux Bergeronnette grise,Motacilla alba,Passeriformes,Motacillidae,Motacilla,Oiseaux
Autres oiseaux Perdrix grise,Perdix perdix,Galliformes,Phasianidae,Perdix,Oiseaux
Anguis fragilis,Anguis fragilis,Squamata,Anguidae,Anguis,Reptiles
Pinson,Fringilla coelebs,Passeriformes,Fringillidae,Fringilla,Oiseaux
Autres oiseaux Becasse,Scolopacidae,Charadriiformes,Scolopacidae,NA,Oiseaux
Autres oiseaux Cormoran,Phalacrocoracidae,Pelecaniformes,Phalacrocoracidae,NA,Oiseaux
Bergeronnette,Motacilla,Passeriformes,Motacillidae,Motacilla,Oiseaux
cormoran,Phalacrocorax carbo,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,Oiseaux
Rongeurs Taupe,Talpa europaea,Eulipotyphla,Talpidae,Talpa,Mammifères
